"","state","NonResident.Rating","Resident.Rating","NonResident.N","Resident.N","NonResident.Var","Resident.Var","Narc.Index","pooledS","MOEdiff","ll","ul"
"1","Alabama",11.3780487804878,14.2698412698413,574,63,235.038330566552,190.813108038914,2.89179248935347,15.1894791662973,3.95879518956041,-1.06700270020694,6.85058767891388
"2","Alaska",6.98542805100182,12.28,549,50,138.247962453299,187.307755102041,5.29457194899818,11.927893594513,3.46047280230984,1.83409914668833,8.75504475130802
"3","Arizona",7.93816254416961,9.96610169491525,566,59,156.674045467338,110.343658679135,2.02793915074564,12.3434510220572,3.31615648365839,-1.28821733291274,5.34409563440403
"4","Arkansas",8.53164556962025,12.8245614035088,553,57,157.843652540818,128.968671679198,4.29291583388852,12.4572916330107,3.40331417013636,0.889601663752164,7.69623000402488
"5","California",17.4179894179894,22.1617647058824,567,68,348.925682876213,348.406277436348,4.74377528789293,18.6780809055178,4.70708895252893,0.0366863353640001,9.45086424042187
"6","Colorado",9.86206896551724,10.4666666666667,580,60,234.250372223215,124.083615819209,0.604597701149425,14.9687186286384,3.98618771496645,-3.38159001381703,4.59078541611588
"7","Connecticut",13.4925619834711,22.4576271186441,605,59,288.538437961797,525.149035651666,8.965065135173,17.5860362673417,4.70967722256867,4.25538791260433,13.6747423577417
"8","Delaware",15.2491638795987,33.14,598,50,336.505652566063,782.898367346939,17.8908361204013,19.2448736522625,5.56326192568263,12.3275741947187,23.454098046084
"9","Florida",11.4788273615635,18.7213114754098,614,61,235.972634185482,355.437704918033,7.24248411384632,15.7042449401221,4.13951704687601,3.10296706697031,11.3820011607223
"10","Georgia",12.3865698729583,27.8461538461538,551,52,245.273928394654,489.034690799397,15.4595839731956,16.3082530604367,4.64635300740724,10.8132309657883,20.1059369806028
"11","Hawaii",9.18045112781955,18.8823529411765,532,51,236.114268722654,394.945882352941,9.70190181335692,15.8045272718953,4.55018051594055,5.15172129741637,14.2520823292975
"12","Idaho",6.73458904109589,17.6964285714286,584,56,116.236468784511,570.542532467533,10.9618395303327,12.4659851042448,3.4244348644081,7.53740466592458,14.3862743947408
"13","Illinois",10.906937394247,17.8524590163934,591,61,186.070985689294,338.261202185792,6.9455216221464,14.14635335929,3.73565843408499,3.20986318806141,10.6811800562314
"14","Indiana",8.87775891341256,13.5964912280702,589,57,201.182310615248,183.387844611529,4.71873231465761,14.1292238196356,3.84861576763629,0.870116547021323,8.5673480822939
"15","Iowa",7.52787456445993,8.55357142857143,574,56,153.254893554919,113.997077922078,1.0256968641115,12.2399636055334,3.36500986512547,-2.33931300101397,4.39070672923696
"16","Kansas",7.64760147601476,19.2586206896552,542,58,145.762831574711,445.42316999395,11.6110192136404,13.2032485976391,3.58237262493096,8.02864658870945,15.1933918385714
"17","Kentucky",11.4090121317158,12.71875,577,64,255.436585307144,107.665674603175,1.30973786828423,15.5199105113397,4.01524267653291,-2.70550480824868,5.32498054481714
"18","Louisiana",15.3647912885662,26.4035087719298,551,57,308.203049001815,560.5664160401,11.0387174833636,18.2077938308536,4.9752193703049,6.06349811305868,16.0139368536685
"19","Maine",10.6380471380471,13.3709677419355,594,62,253.260000227117,247.810946589106,2.73292060388835,15.8981682958453,4.16641480333418,-1.43349419944584,6.89933540722253
"20","Maryland",15.8172920065253,19.7407407407407,613,54,347.146301805116,419.29000698812,3.92344873421546,18.7855290280794,5.23598596892095,-1.31253723470549,9.15943470313641
"21","Massachusetts",23.3583916083916,35.2105263157895,572,57,476.321418074045,625.133458646617,11.8521347073979,22.1271879284557,6.0353622568208,5.81677245057706,17.8874969642187
"22","Michigan",8.83533447684391,15.7777777777778,583,63,163.608577508208,287.111111111111,6.94244330093387,13.2475874399566,3.44995609262867,3.49248720830519,10.3923993935625
"23","Minnesota",7.39708561020036,11.8181818181818,549,55,149.166852804701,187.892255892256,4.42109620798145,12.354778834864,3.43168998771848,0.98940622026297,7.85278619569994
"24","Mississippi",13.0609756097561,14.5535714285714,574,56,276.416868854552,165.669805194805,1.49259581881533,16.3314936041671,4.48985298170426,-2.99725716288893,5.98244880051959
"25","Missouri",10.6254416961131,14.9545454545455,566,66,222.450608211639,221.951748251748,4.32910375843238,14.9130526228951,3.80915060679695,0.519953151635427,8.13825436522934
"26","Montana",6.86339754816112,14.1538461538462,571,52,109.826921067994,274.171945701357,7.29044860568503,11.105127439979,3.15895323906976,4.13149536661527,10.4494018447548
"27","Nebraska",6.83085501858736,12.4117647058824,538,51,135.10541491004,252.927058823529,5.58090968729499,12.0474615610306,3.46674140545449,2.11416828184051,9.04765109274948
"28","Nevada",7.48303715670436,13.2549019607843,619,51,135.104485259135,235.913725490196,5.77186480407995,11.9436211875979,3.41647854292263,2.35538626115732,9.18834334700258
"29","New Hampshire",13.729020979021,21.3448275862069,572,58,330.961468041591,479.808832425892,7.61580660718592,18.5599434137696,5.02251001732107,2.59329658986485,12.638316624507
"30","New Jersey",11.2710951526032,21.9655172413793,557,58,212.248317683376,436.033877797943,10.6944220887761,15.2662074261596,4.13650490217654,6.55791718659954,14.8309269909526
"31","New Mexico",8.12436115843271,11.948275862069,587,58,176.412835555349,209.172716273442,3.82391470363626,13.3909260184443,3.61929313086664,0.204621572769613,7.4432078345029
"32","New York",23.0094161958569,30.9384615384615,531,65,465.281043243435,557.714903846154,7.92904534260466,21.8000056669584,5.62612918934009,2.30291615326458,13.5551745319448
"33","North Carolina",14.7047970479705,20.8166666666667,542,60,324.448738498476,497.60988700565,6.11186961869619,18.4790760438669,4.93774054357042,1.17412907512576,11.0496101622666
"34","North Dakota",6.7406779661017,15.921568627451,590,51,151.679666772179,365.433725490196,9.18089066134928,12.9771081704833,3.71935224236225,5.46153841898704,12.9002429037115
"35","Ohio",11.4578313253012,18.1384615384615,581,65,247.952098047362,285.683653846154,6.68063021316033,15.8651132324449,4.07455098785717,2.60607922530316,10.7551812010175
"36","Oklahoma",8.10851419031719,13.6229508196721,599,61,144.133689929146,281.838797814208,5.51443662935494,12.5176030731439,3.30341003397573,2.21102659537921,8.81784666333066
"37","Oregon",9.17198581560284,12.8214285714286,564,56,174.878005996246,183.094805194805,3.64944275582573,13.2517649591794,3.64615791088698,0.00328484493875125,7.29560066671272
"38","Pennsylvania",23.0288288288288,30.7096774193548,555,62,548.645376784727,704.176626123744,7.68084859052601,23.7502011264838,6.24555682837118,1.43529176215484,13.9264054188972
"39","Rhode Island",10.2334943639291,20.4339622641509,621,53,228.734102124565,569.711901306241,10.2004679002218,15.9724540683642,4.48795875772684,5.71250914249495,14.6884266579486
"40","South Carolina",14.4623287671233,23.4,584,65,292.423964378862,462.18125,8.93767123287671,17.5845395085069,4.51493519451706,4.42273603835965,13.4526064273938
"41","South Dakota",7.05035971223022,14.1636363636364,556,55,151.802864735239,299.769023569024,7.11327665140615,12.84223566012,3.56495919825902,3.54831745314713,10.6782358496652
"42","Tennessee",11.257525083612,16.271186440678,598,59,234.204926527845,367.201052016365,5.01366135706593,15.6838031955892,4.20251047674558,0.811150880320343,9.21617183381151
"43","Texas",17.8299817184643,20.6825396825397,547,63,361.764081135196,285.284690220174,2.85255796407533,18.8139627903697,4.91580612821826,-2.06324816414293,7.7683640922936
"44","Utah",8.56143667296786,11.9833333333333,529,60,209.284570659334,260.864124293785,3.42189666036547,14.6447562954488,3.91814777729751,-0.496251116932036,7.34004443766297
"45","Vermont",11.0131795716639,17.16,607,50,254.019627992453,371.157551020408,6.14682042833608,16.2105711698905,4.68331088793107,1.46350954040501,10.8301313162671
"46","Virginia",23.5,41.0735294117647,568,68,490.356261022928,604.039288849868,17.5735294117647,22.4136137776936,5.64793619546186,11.9255932163028,23.2214656072266
"47","Washington",12.5232358003442,11.05,581,60,373.163683304647,269.200847457627,-1.47323580034423,19.0673703174887,5.077238789929,-6.55047459027323,3.60400298958477
"48","West Virginia",12.4731977818854,18.9622641509434,541,53,306.975669199699,505.113933236575,6.489066369058,18.0105442978729,5.09120273689519,1.39786363216281,11.5802691059532
"49","Wisconsin",7.91680814940577,11.4677419354839,589,62,168.630822447825,169.203860391327,3.5509337860781,12.9878667500395,3.40512918447859,0.145804601599511,6.95606297055668
"50","Wyoming",6.67917448405253,18.18,533,50,137.7784564601,492.354693877551,11.5008255159475,12.949226868167,3.76169217281634,7.73913334313113,15.2625176887638
