"","state","Rrating","RratingSD","NR.State.Mean","NR.State.SD","Prime.Rrating","Prime.RratingSD","NoPrime.Rrating","NoPrime.RratingSD","State100PercentMean.ALL","State100PercentSD.ALL","State100PercentMean","State100PercentSD","noFail100Mean","noFail100SD","Narc.Index","RCount","NRCount","State100PercentCount"
"Alabama","Alabama",14.2698412698413,13.8135117924051,11.3780487804878,15.3309598710111,13.6785714285714,10.5936863497175,14.7428571428571,16.0721587135732,8.93650793650794,7.58792125019294,7.03636363636364,4.69816211647994,8.67741935483871,7.36356603192397,2.89179248935347,63,574,55
"Alaska","Alaska",12.28,13.6860423462022,6.98542805100182,11.7578893706864,10.2916666666667,11.3232318580052,14.1153846153846,15.5520466127823,6.5,6.36396103067893,6.5625,6.4077952858633,6.5,6.36396103067893,5.29457194899818,50,549,48
"Arizona","Arizona",9.96610169491525,10.5044589903114,7.93816254416961,12.5169503261513,7.63333333333333,7.60890283147647,12.3793103448276,12.5197381108605,5,4.54858826147342,4.74137931034483,4.12761493863826,5,4.54858826147342,2.02793915074564,59,566,58
"Arkansas","Arkansas",12.8245614035088,11.3564374554346,8.53164556962025,12.5635843826839,11.75,9.06618178584089,13.6060606060606,12.8499498878872,6.80701754385965,4.68446748189935,6.80701754385965,4.68446748189935,6.80701754385965,4.68446748189935,4.29291583388852,57,553,57
"California","California",22.1617647058824,18.6656443080958,17.4179894179894,18.6795525341538,23.125,22.0961973082219,21.3055555555556,15.2611915738571,14.1911764705882,10.6213771388932,10.4358974358974,9.52502209361955,14.2295081967213,10.8587805371551,4.74377528789293,68,567,39
"Colorado","Colorado",10.4666666666667,11.1392825540611,9.86206896551724,15.3052400250115,11.448275862069,13.0591681175021,9.54838709677419,9.1135017407413,5.55,7.31940768187968,5.25862068965517,7.18321714766035,5.30508474576271,7.12996164154729,0.604597701149425,60,580,58
"Connecticut","Connecticut",22.4576271186441,22.9161304685513,13.4925619834711,16.9864192213014,19.6857142857143,22.2363923075921,26.5,23.7614960735256,13.5508474576271,15.8806689349396,7.95238095238095,5.79719183891557,13.5555555555556,16.3079638684476,8.965065135173,59,605,42
"Delaware","Delaware",33.14,27.980321072978,15.2491638795987,18.3440903989831,35.6666666666667,27.4198131621307,30.1739130434783,28.9508237815171,18.42,14.734507602418,12.7916666666667,11.4359432099608,17.3333333333333,14.7440145453089,17.8908361204013,50,598,24
"Florida","Florida",18.7213114754098,18.8530555857143,11.4788273615635,15.361400788518,17.0294117647059,14.969636529499,20.8518518518519,22.9643598509043,10.655737704918,10.6471987644664,7.18367346938776,5.7179303853017,9.66101694915254,9.11726321892464,7.24248411384632,61,614,49
"Georgia","Georgia",27.8461538461538,22.114128759673,12.3865698729583,15.6612237195774,30.5,20.9633012667375,25.1923076923077,23.3135483884701,14.1346153846154,12.4286652323173,10.9722222222222,10.5220479025469,12.8571428571429,11.986926676585,15.4595839731956,52,551,36
"Hawaii","Hawaii",18.8823529411765,19.8732453905481,9.18045112781955,15.3660101757956,18.84375,20.0710180640901,18.9473684210526,20.0817044545818,8.17647058823529,7.0219822909288,7.06382978723404,5.42700275722424,8.17647058823529,7.0219822909288,9.70190181335692,51,532,47
"Idaho","Idaho",17.6964285714286,23.8860321624905,6.73458904109589,10.7813018130702,14.3636363636364,20.0607303065691,19.8529411764706,26.1268842764773,5.71428571428571,7.75936802889206,5.07407407407407,6.3151565266962,5.07407407407407,6.3151565266962,10.9618395303327,56,584,54
"Illinois","Illinois",17.8524590163934,18.3918787019106,10.906937394247,13.6407839103658,16,19.4164878389476,19.53125,17.5517380354344,10.327868852459,12.1788358932965,8.09090909090909,4.77366513151884,10.327868852459,12.1788358932965,6.9455216221464,61,591,55
"Indiana","Indiana",13.5964912280702,13.5420768204707,8.87775891341256,14.1838750211375,13.68,13.4124320439409,13.53125,13.8563700851083,6.24561403508772,6.1011729017413,5.35849056603774,4.56194265140598,5.2962962962963,4.54175441801634,4.71873231465761,57,589,53
"Iowa","Iowa",8.55357142857143,10.6769414123183,7.52787456445993,12.3796160503838,7.77777777777778,10.8887144587459,9.27586206896552,10.6163504346703,5.17857142857143,7.03783836352959,4.72727272727273,6.23150462020609,4.72727272727273,6.23150462020609,1.0256968641115,56,574,55
"Kansas","Kansas",19.2586206896552,21.1050508171374,7.64760147601476,12.0732278854791,21.5,23.8910570861913,17.6764705882353,19.1132519286224,9.3448275862069,14.9203166846335,8.11111111111111,14.2652323971926,9.3448275862069,14.9203166846335,11.6110192136404,58,542,54
"Kentucky","Kentucky",12.71875,10.3762071395657,11.4090121317158,15.9823835927919,12.8571428571429,10.8550418135127,12.551724137931,9.95556630697676,8.078125,5.8886619265937,7.48333333333333,5.53415180115183,7.88888888888889,5.73644576683527,1.30973786828423,64,577,60
"Louisiana","Louisiana",26.4035087719298,23.6762838308739,15.3647912885662,17.5557127169994,20.7037037037037,16.2168355416757,31.5333333333333,28.0931128304741,15.4385964912281,12.2460161799951,10.6470588235294,6.30959996302497,15.462962962963,12.549844715213,11.0387174833636,57,551,34
"Maine","Maine",13.3709677419355,15.7420121518536,10.6380471380471,15.9141446589855,12.2692307692308,16.3059687042695,14.1666666666667,15.505759298679,5.51612903225806,10.3508009280408,4.29508196721311,3.86585161939377,4.29508196721311,3.86585161939377,2.73292060388835,62,594,61
"Maryland","Maryland",19.7407407407407,20.4765721493643,15.8172920065253,18.6318625425671,22.2903225806452,23.1893561048844,16.304347826087,15.9784934510243,12.0925925925926,10.2649219841322,8.5609756097561,6.48478519493053,11.8846153846154,10.3954247970882,3.92344873421546,54,613,41
"Massachusetts","Massachusetts",35.2105263157895,25.0026690304579,23.3583916083916,21.824789072842,35.2592592592593,27.9003619946086,35.1666666666667,22.5665045241123,27.9824561403509,18.7497535489233,19.5,12.5499003980111,28.7551020408163,19.6357779451236,11.8521347073979,57,572,6
"Michigan","Michigan",15.7777777777778,16.9443533695184,8.83533447684391,12.7909568644495,11.8787878787879,11.6746455400088,20.0666666666667,20.6663700386573,10.1428571428571,13.4426585586492,9.89830508474576,13.8211418701558,10.1451612903226,13.5523838253869,6.94244330093387,63,583,59
"Minnesota","Minnesota",11.8181818181818,13.7073796143631,7.39708561020036,12.2133882606221,12,12.9260718446608,11.6666666666667,14.5444226384225,5.34545454545455,3.92625625952869,5.16666666666667,3.7302941358052,5.34545454545455,3.92625625952869,4.42109620798145,55,549,54
"Mississippi","Mississippi",14.5535714285714,12.8712783046132,13.0609756097561,16.6257892701235,13.6470588235294,12.2521052067159,15.9545454545455,13.9505155143773,9.78571428571429,10.3514852438308,7.42857142857143,6.62382064974588,8.35849056603774,7.50408693677765,1.49259581881533,56,574,49
"Missouri","Missouri",14.9545454545455,14.8980451151065,10.6254416961131,14.9147781817779,16.1025641025641,16.1828285729282,13.2962962962963,12.9341968167122,7.53030303030303,6.13494328723006,7.453125,6.21551996956518,7.53030303030303,6.13494328723006,4.32910375843238,66,566,64
"Montana","Montana",14.1538461538462,16.5581383525249,6.86339754816112,10.4798340191052,15.3478260869565,21.783247724408,13.2068965517241,11.1559699275603,7.73076923076923,7.55662385609897,7.7843137254902,7.62184682472745,7.73076923076923,7.55662385609897,7.29044860568503,52,571,51
"Nebraska","Nebraska",12.4117647058824,15.903680669063,6.83085501858736,11.6234854888729,14.0909090909091,18.0422483984876,9.33333333333333,10.7539322493463,4.92156862745098,4.59496740904613,4.72,4.40797051732797,4.72,4.40797051732797,5.58090968729499,51,538,50
"Nevada","Nevada",13.2549019607843,15.3594832429413,7.48303715670436,11.623445498609,14,16.9841555121689,12.4166666666667,13.6155814407984,6.15686274509804,5.50044561474653,5.08333333333333,3.11368518976998,5.48979591836735,4.19385686142835,5.77186480407995,51,619,48
"New Hampshire","New Hampshire",21.3448275862069,21.9045390827082,13.729020979021,18.1923464138519,18.4375,20.0401814105497,24.9230769230769,23.913047613256,9.92241379310345,10.7122661796169,7.60576923076923,5.41089726391135,7.74528301886792,5.45402342798189,7.61580660718592,58,572,52
"New Jersey","New Jersey",21.9655172413793,20.8814242281973,11.2710951526032,14.568744547262,22.12,21.514181369506,21.8484848484848,20.7245645492873,11.8620689655172,8.01850551736434,10.3829787234043,6.93934338295015,11.6842105263158,7.97352291457,10.6944220887761,58,557,47
"New Mexico","New Mexico",11.948275862069,14.4628045784157,8.12436115843271,13.2820493733215,12.9666666666667,14.5826617250935,10.8571428571429,14.518734476312,5.86206896551724,5.93960325883415,5.53571428571429,5.70156050636948,5.78947368421053,5.96638453009042,3.82391470363626,58,587,56
"New York","New York",30.9384615384615,23.615988309748,23.0094161958569,21.5703742026752,33.6923076923077,24.9041888741991,26.8076923076923,21.3410763191911,22.6,18.0674085026049,15.2777777777778,11.1080551353011,23.0483870967742,18.3789147000746,7.92904534260466,65,531,18
"North Carolina","North Carolina",20.8166666666667,22.3071712013346,14.7047970479705,18.0124606452998,27.2692307692308,24.1934829114085,15.8823529411765,19.7065820505252,11.6833333333333,8.89961276374611,9.15,7.11282698315569,11.3333333333333,8.88082471502774,6.11186961869619,60,542,40
"North Dakota","North Dakota",15.921568627451,19.1163209193138,6.7406779661017,12.3158299262445,15.36,14.3842506466853,16.4615384615385,23.0568528107906,8.30392156862745,13.2034383519493,6.90816326530612,9.32049347617688,8.30392156862745,13.2034383519493,9.18089066134928,51,590,49
"Ohio","Ohio",18.1384615384615,16.902178967404,11.4578313253012,15.7464947860583,17.5,15.9951501270293,18.6857142857143,17.8569008386961,10.4769230769231,9.20615910054869,8.66666666666667,6.43398992966995,10.015873015873,8.92530303721927,6.68063021316033,65,581,54
"Oklahoma","Oklahoma",13.6229508196721,16.7880552123886,8.10851419031719,12.005569121418,9.93548387096774,9.67793188606935,17.4333333333333,21.3697874601493,7.18032786885246,7.87084958718204,6.15254237288136,5.57647014579713,7.18032786885246,7.87084958718204,5.51443662935494,61,599,59
"Oregon","Oregon",12.8214285714286,13.5312529055814,9.17198581560284,13.2241448115274,15.2903225806452,16.1703299252821,9.76,8.66641025261709,8.03571428571429,12.5378906239727,6.31481481481481,5.57563457450859,8.03571428571429,12.5378906239727,3.64944275582573,56,564,54
"Pennsylvania","Pennsylvania",30.7096774193548,26.5363265378564,23.0288288288288,23.4231803302781,33.4705882352941,29.7038261938186,27.3571428571429,22.1647272095808,21.1774193548387,17.6240560203417,7.3,6.70074622710038,21.2786885245902,17.7521183219928,7.68084859052601,62,555,10
"Rhode Island","Rhode Island",20.4339622641509,23.8686384468457,10.2334943639291,15.1239578855723,21,23.8017171466774,19.9655172413793,24.3346941608371,10.4528301886792,8.69032627017813,7.78048780487805,6.91199028906274,10.3725490196078,8.83846317934001,10.2004679002218,53,621,41
"South Carolina","South Carolina",23.4,21.4984011033379,14.4623287671233,17.1004083102966,25.1951219512195,23.8979282702446,20.3333333333333,16.6515873813532,11.3538461538462,8.33559905096578,9.4,6.50663996517124,11.3114754098361,8.52162148812567,8.93767123287671,65,584,45
"South Dakota","South Dakota",14.1636363636364,17.3138390765602,7.05035971223022,12.320830521326,14.6206896551724,19.6021387191432,13.6538461538462,14.7185388070754,7.19090909090909,7.91300553302325,6.70754716981132,7.64691614706427,6.9537037037037,7.78742849903183,7.11327665140615,55,556,53
"Tennessee","Tennessee",16.271186440678,19.162490757111,11.257525083612,15.3037553080231,16.6923076923077,16.8375039261031,15.9393939393939,21.0667679562199,7.86440677966102,7.31191193242502,7.66666666666667,6.90364956805388,7.86440677966102,7.31191193242502,5.01366135706593,59,598,54
"Texas","Texas",20.6825396825397,16.8903727081487,17.8299817184643,19.0200967698694,21.7948717948718,18.3621170193009,18.875,14.3687841003245,14.7936507936508,11.0002327397061,9.92105263157895,6.16608675652937,14.5762711864407,11.2037607445778,2.85255796407533,63,547,38
"Utah","Utah",11.9833333333333,16.1512886264157,8.56143667296786,14.4666710289318,11.9142857142857,17.0092905903378,12.08,15.2121661836834,5.55,7.64780903598197,4.79661016949153,4.98542586641803,5.55,7.64780903598197,3.42189666036547,60,529,59
"Vermont","Vermont",17.16,19.2654496708592,11.0131795716639,15.9379932235038,14,15.1885584468147,20.8695652173913,22.9650017275816,6.48,6.30917698956958,6.17021276595745,6.15848354052878,6.48,6.30917698956958,6.14682042833608,50,607,47
"Virginia","Virginia",41.0735294117647,24.5772107622055,23.5,22.1439892752622,39.2571428571429,27.1838434467574,43,21.7284375876408,28.6764705882353,17.3982682072401,16.1428571428571,15.6037236093245,29.4833333333333,17.8320713424319,17.5735294117647,68,568,7
"Washington","Washington",11.05,16.4073412671775,12.5232358003442,19.3174450511616,9.33333333333333,16.0096124971122,12.4545454545455,16.8394828251399,4.71666666666667,4.80498211311391,4.45762711864407,4.40345488928983,4.45762711864407,4.40345488928983,-1.47323580034423,60,581,59
"West Virginia","West Virginia",18.9622641509434,22.4747398925232,12.4731977818854,17.5207211381181,23.2692307692308,25.2357804591936,14.8148148148148,19.0122167951133,9.58490566037736,13.9937265645719,5.91489361702128,4.90709241472967,8.98039215686275,13.8845096363947,6.489066369058,53,541,47
"Wisconsin","Wisconsin",11.4677419354839,13.0078384211723,7.91680814940577,12.985793100455,11.7931034482759,13.5551237290681,11.1818181818182,12.7118412942779,5.37096774193548,4.01731445639563,5.45901639344262,3.98987790327726,5.37096774193548,4.01731445639563,3.5509337860781,62,589,61
"Wyoming","Wyoming",18.18,22.1890669897937,6.67917448405253,11.7379068176613,18.52,23.5073038295193,17.84,21.2694616763095,7.52,7.66183225275702,5.78260869565217,4.51128483042869,6.58333333333333,6.22907845830475,11.5008255159475,50,533,46
